office,candidate,party,early_votes,election_day_votes,total_votes,percent,winner_margin
STATE REPRESENTATIVE DISTRICT 43,MARIANA CASAREZ,D,16108,5670,21778,32.64333333333334,0
STATE REPRESENTATIVE DISTRICT 44,ALAN SCHOOLCRAFT,R,47441,9837,57278,70.45,26620
STATE REPRESENTATIVE DISTRICT 44,ERIC NORMAN,D,25327,5331,30658,29.549999999999997,26620
STATE REPRESENTATIVE DISTRICT 45,TENNYSON G. MORENO,R,32892,7336,40228,43.26,0
STATE REPRESENTATIVE DISTRICT 46,NIKKI KOSICH,R,16749,5453,22202,26.75,0
STATE REPRESENTATIVE DISTRICT 47,SCOTT FIRSING,R,32973,6057,39030,39.84,0
STATE REPRESENTATIVE DISTRICT 48,DANIEL JEROME MCCARTHY,L,12097,2760,14857,17.0,0
STATE REPRESENTATIVE DISTRICT 5,NANCY A. NICHOLS,W,913,173,1086,1.47,0
STATE REPRESENTATIVE DISTRICT 52,JENNIE BIRKHOLZ,D,41521,7216,48737,43.74,0
STATE REPRESENTATIVE DISTRICT 53,JOE P. HERRERA,D,17295,3728,21023,18.266875,55094
STATE REPRESENTATIVE DISTRICT 53,WES VIRDELL,R,64467,11650,76117,79.92125,55094
STATE REPRESENTATIVE DISTRICT 54,DAWN RICHARDSON,D,16690,5237,21927,38.88,0
STATE REPRESENTATIVE DISTRICT 55,HILLARY HICKLAND,R,31620,7768,39388,57.44,10201
STATE REPRESENTATIVE DISTRICT 55,JENNIFER ALICIA LEE,D,23256,5931,29187,42.56,10201
STATE REPRESENTATIVE DISTRICT 56,ERIN SHANK,D,19637,6027,25664,31.38,30454
STATE REPRESENTATIVE DISTRICT 56,PAT CURRY,R,42361,13757,56118,68.62,30454
STATE REPRESENTATIVE DISTRICT 57,COLLIN JOHNSON,D,28520,5555,34075,38.45,0
STATE REPRESENTATIVE DISTRICT 58,HELEN KERWIN,R,52433,11222,63655,84.935,49760
STATE REPRESENTATIVE DISTRICT 58,RICHARD WINDMANN,L,11173,2722,13895,15.065,49760
STATE REPRESENTATIVE DISTRICT 59,HANNAH BOHM,D,12141,3186,15327,18.2725,0
STATE REPRESENTATIVE DISTRICT 6,CODY J GRACE,D,17351,4696,22047,28.13,34294
STATE REPRESENTATIVE DISTRICT 6,DANIEL ALDERS,R,46799,9542,56341,71.87,34294
STATE REPRESENTATIVE DISTRICT 60,MIKE OLCOTT,R,75998,17190,93188,100.0,0
STATE REPRESENTATIVE DISTRICT 61,KERESA RICHARDSON,R,50166,8149,58315,59.72,18981
STATE REPRESENTATIVE DISTRICT 61,TONY ADAMS,D,33778,5556,39334,40.28,18981
STATE REPRESENTATIVE DISTRICT 62,SHELLEY LUTHER,R,53329,13630,66959,81.97999999999999,47764
STATE REPRESENTATIVE DISTRICT 62,TIFFANY DRAKE,D,15339,3856,19195,18.02,47764
STATE REPRESENTATIVE DISTRICT 63,MICHELLE BECKLEY,D,31641,5382,37023,44.29,0
STATE REPRESENTATIVE DISTRICT 64,ANDY HOPPER,R,50507,8882,59389,66.97999999999999,24793
STATE REPRESENTATIVE DISTRICT 64,ANGELA BREWER,D,28612,5984,34596,33.02,24793
STATE REPRESENTATIVE DISTRICT 65,DETRICK DEBURR,D,33489,5914,39403,39.65,20579
STATE REPRESENTATIVE DISTRICT 65,MITCH LITTLE,R,51982,8000,59982,60.35,20579
STATE REPRESENTATIVE DISTRICT 66,DAVID W. CARSTENS,D,31861,4874,36735,38.76,0
STATE REPRESENTATIVE DISTRICT 67,MAKALA L. WASHINGTON,D,30910,5877,36787,39.68,0
STATE REPRESENTATIVE DISTRICT 68,STACEY SWANN,D,8796,2894,11690,11.530833333333334,0
STATE REPRESENTATIVE DISTRICT 69,WALTER COPPAGE,D,10894,3540,14434,13.491428571428571,0
STATE REPRESENTATIVE DISTRICT 7,MARLENA R. COOPER,D,15827,4500,20327,25.77333333333333,0
STATE REPRESENTATIVE DISTRICT 70,STEVE KINARD,R,30362,4377,34739,47.86,0
STATE REPRESENTATIVE DISTRICT 71,LINDA GOOLSBEE,D,10305,3335,13640,15.1175,0
STATE REPRESENTATIVE DISTRICT 73,SALLY DUVAL,D,31803,4722,36525,32.385,0
STATE REPRESENTATIVE DISTRICT 74,ROBERT GARZA,R,19151,7156,26307,55.06272727272728,0
STATE REPRESENTATIVE DISTRICT 76,LEA C.S. SIMMONS,R,25229,5280,30509,43.55,0
STATE REPRESENTATIVE DISTRICT 77,"VINCENT ""VINCE"" PEREZ",D,24749,10597,35346,100.0,0
STATE REPRESENTATIVE DISTRICT 8,CAROLYN F. SALTER,D,10099,3816,13915,18.475,0
STATE REPRESENTATIVE DISTRICT 80,CECILIA CASTELLANO,D,14155,7046,21201,44.05833333333334,9949
STATE REPRESENTATIVE DISTRICT 80,DON MCLAUGHLIN JR,R,21965,9185,31150,55.94166666666667,9949
STATE REPRESENTATIVE DISTRICT 82,STEVEN SCHAFERSMAN,D,7965,2561,10526,15.933333333333332,0
STATE REPRESENTATIVE DISTRICT 84,NOAH LOPEZ,D,16278,4382,20660,35.88,0
STATE REPRESENTATIVE DISTRICT 87,CAROLINE FAIRLY,R,32038,10218,42256,87.33875,31225
STATE REPRESENTATIVE DISTRICT 87,TIMOTHY W. GASSAWAY,D,8002,3029,11031,12.55625,31225
STATE REPRESENTATIVE DISTRICT 89,DARREL EVANS,D,30382,5666,36048,39.28,0
STATE REPRESENTATIVE DISTRICT 91,DAVID LOWE,R,43002,10882,53884,100.0,0
STATE REPRESENTATIVE DISTRICT 93,PERLA BOJORQUEZ,D,27583,7174,34757,39.42,0
STATE REPRESENTATIVE DISTRICT 94,DENISE WILKERSON,D,28634,6206,34840,44.36,0
STATE REPRESENTATIVE DISTRICT 96,EBONY M. TURNER,D,29588,6563,36151,42.6,0
STATE REPRESENTATIVE DISTRICT 97,CARLOS WALKER,D,30393,6590,36983,41.89,14313
STATE REPRESENTATIVE DISTRICT 97,JOHN MCQUEENEY,R,42467,8829,51296,58.11,14313
STATE REPRESENTATIVE DISTRICT 98,SCOTT BRYAN WHITE,D,29343,4356,33699,34.25,0
STATE REPRESENTATIVE DISTRICT 99,MIMI COFFEY,D,21843,6274,28117,37.14,0
"STATE SENATOR, DISTRICT 10",ANDY MORRIS,D,111237,29442,140679,18.03625,0
"STATE SENATOR, DISTRICT 12",STEPHANIE DRAPER,D,146643,26322,172965,33.8425,0
"STATE SENATOR, DISTRICT 15",JOSEPH L. TRAHAN,R,96847,26234,123081,38.17,76286
"STATE SENATOR, DISTRICT 15",MOLLY COOK,D,162552,36815,199367,61.83,76286
"STATE SENATOR, DISTRICT 17",KATHY CHENG,D,109780,22522,132302,26.75375,0
"STATE SENATOR, DISTRICT 25",MERRIE FOX,D,159078,24359,183437,32.47571428571429,0
"STATE SENATOR, DISTRICT 27",ADAM HINOJOSA,R,95416,30459,125875,54.481249999999996,0
"STATE SENATOR, DISTRICT 30",BRENT HAGENBUCH,R,238322,50806,289128,79.27454545454545,134142
"STATE SENATOR, DISTRICT 30",DALE FREY,D,128180,26806,154986,20.725454545454543,134142
"STATE SENATOR, DISTRICT 6",MARTHA FIERRO,R,49301,20533,69834,37.05,0
"STATE SENATOR, DISTRICT 7",MICHELLE GWINN,D,115014,29276,144290,28.835,0
"STATE SENATOR, DISTRICT 8",RACHEL MELLO,D,155582,27737,183319,26.459999999999997,0
U. S. REPRESENTATIVE DISTRICT 10,THERESA BOISSEAU,D,96896,21041,117937,26.533076923076923,0
U. S. REPRESENTATIVE DISTRICT 12,CRAIG GOLDMAN,R,174892,40220,215112,71.51,91446
U. S. REPRESENTATIVE DISTRICT 12,TREY J. HUNT,D,98478,25188,123666,28.490000000000002,91446
U. S. REPRESENTATIVE DISTRICT 14,RHONDA HART,D,78878,16609,95487,22.856,0
U. S. REPRESENTATIVE DISTRICT 15,MICHELLE VALLEJO,D,73352,22400,95752,33.854285714285716,0
U. S. REPRESENTATIVE DISTRICT 16,IRENE ARMENDARIZ JACKSON,R,64174,24972,89146,40.44,0
U. S. REPRESENTATIVE DISTRICT 17,MARK LORENZEN,D,76076,21635,97711,27.825,0
U. S. REPRESENTATIVE DISTRICT 18,LANA CENTONZE,R,50326,16235,66561,30.62,84213
U. S. REPRESENTATIVE DISTRICT 18,SYLVESTER TURNER,D,119065,31709,150774,69.35,84213
U. S. REPRESENTATIVE DISTRICT 19,NATHAN LEWIS,I,21596,5790,27386,5.674545454545454,0
U. S. REPRESENTATIVE DISTRICT 2,PETER FILLER,D,89714,21980,111694,34.01,0
U. S. REPRESENTATIVE DISTRICT 21,KRISTIN HOOK,D,132011,20889,152900,28.484,0
U. S. REPRESENTATIVE DISTRICT 22,MARQUETTE GREENE-SCOTT,D,108358,18524,126882,32.86,0
U. S. REPRESENTATIVE DISTRICT 23,S. LIMON,D,86401,22388,108789,28.162068965517243,0
U. S. REPRESENTATIVE DISTRICT 24,SAM EPPLER,D,124940,22637,147577,40.43,0
U. S. REPRESENTATIVE DISTRICT 25,CHAD HAGG,W,1352,212,1564,0.42,0
U. S. REPRESENTATIVE DISTRICT 26,BRANDON GILL,R,204029,36072,240101,81.755,102571
U. S. REPRESENTATIVE DISTRICT 26,ERNEST R. LINEBERGER III,D,116343,21187,137530,16.682499999999997,102571
U. S. REPRESENTATIVE DISTRICT 27,TANYA LLOYD,D,73851,20366,94217,26.189285714285713,0
U. S. REPRESENTATIVE DISTRICT 28,JAY FURMAN,R,87334,26410,113744,47.11666666666667,0
U. S. REPRESENTATIVE DISTRICT 29,ALAN GARZA,R,36447,16242,52689,34.77,0
U. S. REPRESENTATIVE DISTRICT 3,SANDEEP SRIVASTAVA,D,119951,21955,141906,30.505000000000003,0
U. S. REPRESENTATIVE DISTRICT 30,"JRMAR ""JJ""  JEFFERSON",L,25576,9330,34906,17.48,0
U. S. REPRESENTATIVE DISTRICT 31,STUART WHITLOW,D,105869,20090,125959,24.333333333333332,0
U. S. REPRESENTATIVE DISTRICT 32,DARRELL DAY,R,65794,19376,85170,38.11,53375
U. S. REPRESENTATIVE DISTRICT 32,JULIE JOHNSON,D,109419,29126,138545,59.10666666666666,53375
U. S. REPRESENTATIVE DISTRICT 33,PATRICK DAVID GILLESPIE,R,35593,16014,51607,31.22,0
U. S. REPRESENTATIVE DISTRICT 34,MAYRA FLORES,R,72675,24790,97465,54.434000000000005,0
U. S. REPRESENTATIVE DISTRICT 35,STEVEN WRIGHT,R,61630,20724,82354,41.29,0
U. S. REPRESENTATIVE DISTRICT 36,DAYNA STEELE,D,71195,19263,90458,22.44875,0
U. S. REPRESENTATIVE DISTRICT 37,JENNY GARCIA SHARON,R,64606,15661,80267,26.605,0
U. S. REPRESENTATIVE DISTRICT 38,MELISSA MCDONOUGH,D,103090,23318,126408,37.12,0
U. S. REPRESENTATIVE DISTRICT 4,SIMON CARDELL,D,92520,18405,110925,21.114166666666666,0
U. S. REPRESENTATIVE DISTRICT 5,"RUTH ""TRUTH"" TORRES",D,81696,25245,106941,23.546666666666667,0
U. S. REPRESENTATIVE DISTRICT 6,JOHN LOVE III,D,76133,21780,97913,28.192222222222224,0
U. S. REPRESENTATIVE DISTRICT 7,CAROLINE KANE,R,75186,19018,94204,39.849999999999994,0
U. S. REPRESENTATIVE DISTRICT 8,LAURA JONES,D,85314,22987,108301,24.344,0
U. S. SENATOR,COLIN ALLRED,D,4002321,1000192,5002513,23.829645669291338,0
